도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,동구,대구방촌초등학교,305,1.121473965,0.4321,,,,0.942953,1,0.3499,-4.262295082
대구광역시,북구,대구국제고등학교,305,1.084861167,0.4321,,,,0.969718,0.769045,0.3493,0
대구광역시,수성구,대구매동초등학교,303,1.155454529,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977471,1,0.3313,-1.98019802
대구광역시,북구,대구구암초등학교,302,1.11955342,0.4321,,,,0.934398,1,0.3493,-2.98013245
대구광역시,남구,대구중학교,301,1.063321246,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.904254,0.57228,0.3552,1.19760479
대구광역시,동구,대구일마이스터고등학교,301,1.019697246,0.4321,,,,0.962626,0.39986,0.3499,0
대구광역시,중구,대구명덕초등학교,300,1.15948186,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.963977,1,0.3322,4.333333333
대구광역시,중구,대구제일중학교,298,1.009254969,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.963888,0.082059,0.3322,5.443037975
대구광역시,수성구,대구동산초등학교,297,1.156533012,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.966203,1,0.3313,-2.356902357
대구광역시,수성구,대구청림초등학교,294,1.155962444,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.959263,1,0.3313,-5.102040816
대구광역시,달서구,대구외국어고등학교,294,1.076529415,0.4321,,,,0.973726,0.626906,0.3515,0
대구광역시,달서구,대구남부초등학교,293,0.9979169125,0.4321,,,,0.948697,0.1711,0.3515,0
대구광역시,남구,대구영선초등학교,291,1.219643097,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.921288,1,0.3552,2.749140893
대구광역시,달성군,대구도림초등학교,291,1.028889433,0.4321,,,,0.942226,0.490737,0.3487,-2.405498282
대구광역시,달서구,대구호산초등학교,290,1.156675276,0.4321,,,,0.955335,1,0.3515,-7.24137931
대구광역시,달성군,대구화동초등학교,290,1.14564276,0.4321,,,,0.942178,1,0.3487,-4.482758621
대구광역시,북구,서변중학교,288,1.05084641,0.4321,,,,0.962774,0.335047,0.3493,0.5465547531
대구광역시,달서구,대구성곡초등학교,287,1.163456728,0.4321,,,,0.957465,1,0.3515,-3.135888502
대구광역시,달서구,대구진월초등학교,287,1.161546395,0.4321,,,,0.955143,1,0.3515,-8.362369338
대구광역시,동구,대구불로초등학교,286,1.155794899,0.4321,,,,0.946308,1,0.3499,-3.146853147
